"","BRAND_NAME","ESTIMATE_SPEND_AMT","DATE","GEOGRAPHY"
"91","HUMIRA",22348.0889114,2018-12-01,"Springfield, MO"
"92","HUMIRA",2.0666325,2019-03-01,"Ft. Wayne"
"93","HUMIRA",65137.5036212,2019-01-01,"Oklahoma City"
"94","HUMIRA",186038.0705369,2019-05-01,"Syracuse"
"95","HUMIRA",1208.9472896,2018-09-01,"Alpena"
"96","HUMIRA",15.0844591,2019-04-01,"Cleveland-Akron (Canton)"
"97","HUMIRA",9828.3904766,2018-11-01,"Charlottesville"
"98","HUMIRA",3894.0647663,2018-11-01,"Ft. Myers-Naples"
"99","HUMIRA",18895.2775759,2018-11-01,"Augusta-Aiken"
"100","HUMIRA",0.4041417,2019-05-01,"La Crosse-Eau Claire"
"101","HUMIRA",13919.3181164,2018-10-01,"Columbus, GA (Opelika, AL)"
"102","HUMIRA",10.1946149,2018-10-01,"Baton Rouge"
"103","HUMIRA",NA,2018-12-01,"CHARLESTON SC"
"104","HUMIRA",52213.7540354,2019-01-01,"Fresno-Visalia"
"105","HUMIRA",NA,2018-09-01,"CHATTANOOGA TN"
"106","HUMIRA",618.2111614,2019-06-01,"Laredo"
"107","HUMIRA",412.5183499,2019-06-01,"Tyler-Longview(Lfkn&Ncgd)"
"108","HUMIRA",42.8540475,2018-12-01,"Twin Falls"
"109","HUMIRA",31277.1703085,2019-03-01,"Sioux Falls(Mitchell)"
"110","HUMIRA",7347.7357428,2018-10-01,"La Crosse-Eau Claire"
"111","HUMIRA",NA,2018-12-01,"San Francisco-Oak-San Jose"
"112","HUMIRA",NA,2019-01-01,"SAN ANTONIO TX"
"113","HUMIRA",NA,2019-01-01,"ERIE PA"
"114","HUMIRA",4.945498,2019-06-01,"El Paso (Las Cruces)"
"115","HUMIRA",565.5993895,2018-09-01,"Billings"
"116","HUMIRA",958.4497234,2019-05-01,"Lincoln & Hastings-Krny"
"117","HUMIRA",NA,2019-07-01,"Zanesville"
"118","HUMIRA",3609.8146046,2018-11-01,"Erie"
"119","HUMIRA",62443.1753192,2018-11-01,"Alexandria, LA"
"120","HUMIRA",69130.931442,2019-03-01,"New Orleans"
"121","HUMIRA",11404.7162952,2019-04-01,"Harrisonburg"
"122","HUMIRA",NA,2018-11-01,"Honolulu"
"123","HUMIRA",NA,2018-11-01,"MANKATO MN"
"124","HUMIRA",0.1958275,2018-09-01,"Cheyenne-Scottsbluff"
"125","HUMIRA",2586.0160564,2019-04-01,"Fresno-Visalia"
"126","HUMIRA",8.1220432,2019-05-01,"Savannah"
"127","HUMIRA",7177.501261,2018-12-01,"Lafayette, LA"
"128","HUMIRA",2274.6163084,2019-02-01,"St. Louis"
"129","HUMIRA",9059.2911374,2018-10-01,"Evansville"
"130","HUMIRA",NA,2019-07-01,"Charlotte"
"131","HUMIRA",11309.5411356,2018-12-01,"Salisbury"
"132","HUMIRA",23391.546926,2019-03-01,"Johnstown-Altoona-St Colge"
"133","HUMIRA",11.7869365,2019-04-01,"Denver"
"134","HUMIRA",75828.0955702,2019-05-01,"Parkersburg"
"135","HUMIRA",NA,2019-01-01,"EL PASO TX"
"136","HUMIRA",128579.1592744,2018-10-01,"San Diego"
"137","HUMIRA",4.6983643,2019-04-01,"Monroe-El Dorado"
"138","HUMIRA",16096.5740928,2019-02-01,"Sioux Falls(Mitchell)"
"139","HUMIRA",0.7293789,2019-02-01,"West Palm Beach-Ft. Pierce"
"140","HUMIRA",171534.8014134,2019-06-01,"Tampa-St. Pete (Sarasota)"
"141","HUMIRA",134031.1212025,2018-09-01,"Roanoke-Lynchburg"
"142","HUMIRA",NA,2018-11-01,"SAN FRAN_OAKLAND_SAN JOSE"
"143","HUMIRA",2146.4666349,2018-09-01,"Waco-Temple-Bryan"
"144","HUMIRA",509.7196595,2018-09-01,"Syracuse"
"145","HUMIRA",0.1781327,2019-01-01,"Monroe-El Dorado"
"146","HUMIRA",2537.0238387,2019-02-01,"Flint-Saginaw-Bay City"
"147","HUMIRA",0.1045719,2019-05-01,"Victoria"
"148","HUMIRA",1597.7070116,2019-01-01,"Laredo"
"149","HUMIRA",0.6346445,2018-12-01,"Rochestr-Mason City-Austin"
"150","HUMIRA",NA,2019-03-01,"Ft. Wayne"
"151","HUMIRA",2789.9854514,2019-04-01,"Yuma-El Centro"
"152","HUMIRA",1.1907402,2019-06-01,"Spokane"
"153","HUMIRA",163170.2124746,2019-05-01,"Cleveland-Akron (Canton)"
"154","HUMIRA",73247.5959823,2019-06-01,"Raleigh-Durham (Fayetvlle)"
"155","HUMIRA",2206.6264493,2019-03-01,"Columbia, SC"
"156","HUMIRA",3.7746525,2019-04-01,"Dayton"
"157","HUMIRA",4.1318805,2018-09-01,"Norfolk-Portsmth-Newpt Nws"
"158","HUMIRA",27287.9644162,2018-10-01,"Providence-New Bedford"
"159","HUMIRA",65.5805359,2019-02-01,"Chattanooga"
"160","HUMIRA",14536.4569381,2019-05-01,"Shreveport"
"161","HUMIRA",357.4327095,2018-09-01,"Shreveport"
"162","HUMIRA",73481.4483757,2019-03-01,"St. Louis"
"163","HUMIRA",3172.1131576,2019-06-01,"Great Falls"
"164","HUMIRA",13752.6076066,2019-01-01,"Lansing"
"165","HUMIRA",NA,2019-03-01,"Little Rock-Pine Bluff"
"166","HUMIRA",NA,2019-02-01,"Sioux Falls(Mitchell)"
"167","HUMIRA",991251.4928908,2019-01-01,"Greenvll-Spart-Ashevll-And"
"168","HUMIRA",13765.9661525,2019-05-01,"Honolulu"
"169","HUMIRA",0.5804447,2019-01-01,"Great Falls"
"170","HUMIRA",196.9749923,2019-01-01,"Chicago"
"171","HUMIRA",NA,2019-01-01,"QUINCY_HANNIBAL_KEOKUK IL_MO"
"172","HUMIRA",1136.9408128,2019-03-01,"Savannah"
"173","HUMIRA",0.7649335,2018-12-01,"Lexington"
"174","HUMIRA",0.3554902,2018-11-01,"Juneau"
"175","HUMIRA",917.0667583,2018-11-01,"Springfield, MO"
"176","HUMIRA",199001.3876092,2019-03-01,"Anchorage"
"177","HUMIRA",565.859598,2019-04-01,"Idaho Fals-Pocatllo(Jcksn)"
"178","HUMIRA",10223.1146694,2019-02-01,"Chico-Redding"
"179","HUMIRA",2291.3855121,2018-11-01,"Odessa-Midland"
"180","HUMIRA",NA,2019-07-01,"Parkersburg"
"181","HUMIRA",21219.6764933,2019-01-01,"SantaBarbra-SanMar-SanLuOb"
"182","HUMIRA",0.7201231,2019-06-01,"Medford-Klamath Falls"
"183","HUMIRA",2924.7501544,2019-05-01,"San Francisco-Oak-San Jose"
"184","HUMIRA",NA,2019-01-01,"TULSA OK"
"185","HUMIRA",40330.2018598,2019-04-01,"Knoxville"
"186","HUMIRA",1.1907452,2019-02-01,"Spokane"
"187","HUMIRA",3106.8455257,2018-10-01,"Joplin-Pittsburg"
"188","HUMIRA",110312.4046064,2019-05-01,"Rockford"
"189","HUMIRA",363.8575556,2019-06-01,"Beaumont-Port Arthur"
"190","HUMIRA",6177.6524191,2019-02-01,"Des Moines-Ames"
"191","HUMIRA",2990.9463109,2018-09-01,"Wichita Falls & Lawton"
"192","HUMIRA",10261.2152983,2018-11-01,"Springfield, MO"
"193","HUMIRA",2.3117851,2019-03-01,"Quincy-Hannibal-Keokuk"
"194","HUMIRA",167.064468,2018-12-01,"Joplin-Pittsburg"
"195","HUMIRA",8.1220469,2019-02-01,"Savannah"
"196","HUMIRA",54981.4790932,2019-02-01,"West Palm Beach-Ft. Pierce"
"197","HUMIRA",2010.6817034,2019-05-01,"Augusta-Aiken"
"198","HUMIRA",5.5259188,2019-01-01,"Los Angeles"
"199","HUMIRA",1153.0640888,2019-04-01,"Zanesville"
"200","HUMIRA",NA,2019-05-01,"Watertown"
"201","HUMIRA",3398.0018278,2019-02-01,"Ottumwa-Kirksville"
"202","HUMIRA",4243.6523098,2019-04-01,"Johnstown-Altoona-St Colge"
"203","HUMIRA",16957.6746547,2019-06-01,"Phoenix (Prescott)"
"204","HUMIRA",NA,2018-11-01,"MIAMI_FT LAUDERDALE FL"
"205","HUMIRA",337.3337993,2018-09-01,"Marquette"
"206","HUMIRA",8906.367819,2019-01-01,"Hattiesburg-Laurel"
"207","HUMIRA",NA,2019-07-01,"Watertown"
"208","HUMIRA",NA,2019-07-01,"Lake Charles"
"209","HUMIRA",NA,2018-10-01,"WILKES BARRE_SCRANTON PA"
"210","HUMIRA",NA,2019-03-01,"Laredo"
"211","HUMIRA",NA,2019-01-01,"ALEXANDRIA LA"
"212","HUMIRA",228.7731193,2019-04-01,"Elmira (Corning)"
"213","HUMIRA",26196.4186021,2019-05-01,"Greenville-N.Bern-Washngtn"
"214","HUMIRA",NA,2018-12-01,"SPRINGFIELD_HOLYOKE MA"
"215","HUMIRA",176.6099938,2019-03-01,"Reno"
"216","HUMIRA",6913.093205,2019-05-01,"Tallahassee-Thomasville"
"217","HUMIRA",120647.1308406,2019-04-01,"Sacramnto-Stkton-Modesto"
"218","HUMIRA",9366.4079986,2018-12-01,"Harlingen-Wslco-Brnsvl-McA"
"219","HUMIRA",NA,2019-07-01,"Chattanooga"
"220","HUMIRA",3575.7573757,2018-09-01,"Cheyenne-Scottsbluff"
"221","HUMIRA",NA,2018-12-01,"MONTEREY_SALINAS CA"
"222","HUMIRA",48193.0126988,2019-06-01,"Greenvll-Spart-Ashevll-And"
"223","HUMIRA",NA,2018-10-01,"ZANESVILLE OH"
"224","HUMIRA",452.2757196,2018-11-01,"Macon"
"225","HUMIRA",NA,2018-09-01,"YAKIMA_PASCO_RICHLAND"
"226","HUMIRA",NA,2019-07-01,"Youngstown"
"227","HUMIRA",285.2635729,2019-06-01,"Flint-Saginaw-Bay City"
"228","HUMIRA",104.449953,2019-01-01,"Alpena"
"229","HUMIRA",574.023517,2019-03-01,"Tucson (Sierra Vista)"
"230","HUMIRA",4955.2870416,2018-09-01,"Dallas-Ft. Worth"
"231","HUMIRA",9897.8054078,2018-12-01,"Gainesville"
"232","HUMIRA",164349.1686117,2018-09-01,"Topeka"
"233","HUMIRA",92.3694588,2019-06-01,"Lubbock"
"234","HUMIRA",0.6505294,2018-11-01,"Lafayette, LA"
"235","HUMIRA",0.0697146,2018-10-01,"Joplin-Pittsburg"
"236","HUMIRA",67305.8756723,2018-12-01,"Buffalo"
"237","HUMIRA",3160.9060294,2019-01-01,"Victoria"
"238","HUMIRA",NA,2019-07-01,"Shreveport"
"239","HUMIRA",328843.8006828,2018-09-01,"Charleston-Huntington"
"240","HUMIRA",5163.2903137,2019-01-01,"La Crosse-Eau Claire"
"241","HUMIRA",1277.9539231,2019-01-01,"San Antonio"
"242","HUMIRA",30375.384422,2018-10-01,"San Diego"
"243","HUMIRA",933.1283994,2019-06-01,"Chicago"
"244","HUMIRA",12079.4507041,2019-06-01,"Tucson (Sierra Vista)"
"245","HUMIRA",13.2935056,2019-04-01,"Columbus-Tupelo-W Pnt-Hstn"
"246","HUMIRA",18895.7662656,2018-10-01,"Baton Rouge"
"247","HUMIRA",134101.6551597,2019-04-01,"Tampa-St. Pete (Sarasota)"
"248","HUMIRA",3.4105981,2018-11-01,"Topeka"
"249","HUMIRA",NA,2019-07-01,"Minneapolis-St. Paul"
"250","HUMIRA",0.3135798,2018-12-01,"Columbia-Jefferson City"
"251","HUMIRA",309.4581607,2019-04-01,"La Crosse-Eau Claire"
"252","HUMIRA",22503.5869124,2019-06-01,"Jackson, MS"
"253","HUMIRA",17022.1520164,2018-10-01,"Milwaukee"
"254","HUMIRA",NA,2018-10-01,"HONOLULU HI"
"255","HUMIRA",NA,2018-11-01,"CHARLESTON_HUNTINGTON WV"
"256","HUMIRA",NA,2019-01-01,"Yuma-El Centro"
"257","HUMIRA",2537.9071749,2019-01-01,"Flint-Saginaw-Bay City"
"258","HUMIRA",11.4928063,2019-02-01,"Honolulu"
"259","HUMIRA",NA,2018-09-01,"LOUISVILLE KY"
"260","HUMIRA",NA,2019-02-01,"Monterey-Salinas"
"261","HUMIRA",1720466.4028715,2018-10-01,"Denver"
"262","HUMIRA",NA,2018-09-01,"TRI_CITIES TN_VA"
"263","HUMIRA",1973.2934529,2019-03-01,"Fairbanks"
"264","HUMIRA",525.6092371,2019-05-01,"Zanesville"
"265","HUMIRA",59798.9594864,2019-04-01,"Albuquerque-Santa Fe"
"266","HUMIRA",70.3126306,2018-11-01,"Eureka"
"267","HUMIRA",9249.8746049,2018-11-01,"Jonesboro"
"268","HUMIRA",1121.2607132,2018-11-01,"Mobile-Pensacola (Ft Walt)"
"269","HUMIRA",NA,2019-07-01,"Greenwood-Greenville"
"270","HUMIRA",2.293835,2019-02-01,"St. Louis"
"271","HUMIRA",13551.4937055,2018-11-01,"Lafayette, LA"
"272","HUMIRA",675104.1819915,2018-11-01,"Los Angeles"
"273","HUMIRA",2786.9032359,2019-05-01,"Springfield-Holyoke"
"274","HUMIRA",0.0839581,2018-09-01,"Great Falls"
"275","HUMIRA",640.3821038,2018-12-01,"Presque Isle"
"276","HUMIRA",28713.8267025,2019-01-01,"Springfield, MO"
"277","HUMIRA",2.4092062,2019-02-01,"Davenport-R.Island-Moline"
"278","HUMIRA",4470.8917742,2018-12-01,"Knoxville"
"279","HUMIRA",1322.0199511,2018-09-01,"Victoria"
"280","HUMIRA",28015.5932205,2018-10-01,"SantaBarbra-SanMar-SanLuOb"
"281","HUMIRA",172700.5891978,2019-04-01,"Burlington-Plattsburgh"
"282","HUMIRA",NA,2018-09-01,"HATTIESBURG_LAUREL MS"
"283","HUMIRA",7238.0190687,2019-02-01,"Monroe-El Dorado"
"284","HUMIRA",410.0764448,2019-06-01,"Yakima-Pasco-Rchlnd-Knnwck"
"285","HUMIRA",12629.2991616,2018-11-01,"Pittsburgh"
"286","HUMIRA",17513.6115288,2018-09-01,"SantaBarbra-SanMar-SanLuOb"
"287","HUMIRA",0.4065983,2019-02-01,"Johnstown-Altoona-St Colge"
"288","HUMIRA",21773.1865351,2018-11-01,"Lansing"
"289","HUMIRA",6143.6563751,2018-10-01,"Bowling Green"
"290","HUMIRA",60.1821207,2019-03-01,"Lima"
"291","HUMIRA",1884.9321958,2018-12-01,"Burlington-Plattsburgh"
"292","HUMIRA",360.559601,2019-02-01,"Meridian"
"293","HUMIRA",48078.0557048,2018-12-01,"Harrisburg-Lncstr-Leb-York"
"294","HUMIRA",826.1457254,2019-04-01,"Baton Rouge"
"295","HUMIRA",399.2369271,2019-03-01,"Fargo-Valley City"
"296","HUMIRA",31609.0342213,2019-04-01,"Burlington-Plattsburgh"
"297","HUMIRA",8327.0971221,2018-12-01,"Billings"
"298","HUMIRA",11673.4968919,2018-12-01,"Greenville-N.Bern-Washngtn"
"299","HUMIRA",2.5831307,2018-12-01,"St. Louis"
"300","HUMIRA",NA,2019-07-01,"Kansas City"
"301","HUMIRA",13729.4874488,2019-02-01,"Seattle-Tacoma"
"302","HUMIRA",24.6968162,2019-04-01,"Odessa-Midland"
"303","HUMIRA",10.6561566,2019-04-01,"Chicago"
"304","HUMIRA",7499.7357301,2019-06-01,"Macon"
"305","HUMIRA",34266.6427051,2019-03-01,"Zanesville"
"306","HUMIRA",209.5386233,2018-12-01,"Springfield-Holyoke"
"307","HUMIRA",7571.2383034,2019-06-01,"Montgomery-Selma"
"308","HUMIRA",401883.2054463,2018-11-01,"Unknown"
"309","HUMIRA",0.8065483,2019-01-01,"San Antonio"
"310","HUMIRA",NA,2018-10-01,"PADUCAH KY"
"311","HUMIRA",NA,2018-10-01,"SPRINGFIELD_HOLYOKE MA"
"312","HUMIRA",NA,2019-07-01,"Washington, DC (Hagrstwn)"
"313","HUMIRA",NA,2019-02-01,"Parkersburg"
"314","HUMIRA",3182.8238199,2018-12-01,"Duluth-Superior"
"315","HUMIRA",2228.6062498,2019-01-01,"Youngstown"
"316","HUMIRA",510.3854614,2018-11-01,"Jonesboro"
"317","HUMIRA",18507.3970265,2019-02-01,"Fargo-Valley City"
"318","HUMIRA",144.4390574,2019-04-01,"West Palm Beach-Ft. Pierce"
"319","HUMIRA",NA,2019-07-01,"Indianapolis"
"320","HUMIRA",13.9139746,2019-01-01,"Burlington-Plattsburgh"
"321","HUMIRA",0.0697146,2018-12-01,"Odessa-Midland"
"322","HUMIRA",768152.6142901,2019-02-01,"Washington, DC (Hagrstwn)"
"323","HUMIRA",0.4365215,2018-10-01,"Elmira (Corning)"
"324","HUMIRA",58315.5487563,2019-06-01,"Charlottesville"
"325","HUMIRA",14140.9307568,2019-05-01,"Tri-Cities, TN-VA"
"326","HUMIRA",NA,2018-10-01,"Corpus Christi"
"327","HUMIRA",191281.4706202,2018-11-01,"Bakersfield"
"328","HUMIRA",3.6356114,2018-12-01,"Mankato"
"329","HUMIRA",19878.68467,2018-11-01,"Harlingen-Wslco-Brnsvl-McA"
"330","HUMIRA",1221.3227353,2019-06-01,"Butte-Bozeman"
"331","HUMIRA",28859.5363066,2018-10-01,"Spokane"
"332","HUMIRA",NA,2019-03-01,"New York"
"333","HUMIRA",2.5328954,2018-09-01,"Waco-Temple-Bryan"
"334","HUMIRA",4716.2807799,2018-10-01,"Norfolk-Portsmth-Newpt Nws"
"335","HUMIRA",31870.608669,2019-02-01,"Tallahassee-Thomasville"
"336","HUMIRA",7959.6397513,2018-09-01,"Richmond-Petersburg"
"337","HUMIRA",3.3535718,2019-02-01,"Richmond-Petersburg"
"338","HUMIRA",1.8503124,2019-02-01,"Fargo-Valley City"
"339","HUMIRA",13657.7081424,2019-04-01,"Peoria-Bloomington"
"340","HUMIRA",1687.1087559,2018-10-01,"Twin Falls"
"341","HUMIRA",403.9780111,2018-09-01,"Mobile-Pensacola (Ft Walt)"
"342","HUMIRA",4623.3465655,2019-06-01,"Erie"
"343","HUMIRA",790.673137,2019-06-01,"Binghamton"
"344","HUMIRA",0.4018779,2018-10-01,"Topeka"
"345","HUMIRA",100596.6660777,2018-11-01,"Harrisonburg"
"346","HUMIRA",893.4031769,2019-03-01,"Zanesville"
"347","HUMIRA",927661.198613,2019-03-01,"West Palm Beach-Ft. Pierce"
"348","HUMIRA",851.1604174,2019-06-01,"Sherman-Ada"
"349","HUMIRA",8618.6618752,2018-12-01,"Billings"
"350","HUMIRA",11.3474284,2019-01-01,"Spokane"
"351","HUMIRA",11985.7615259,2018-11-01,"Odessa-Midland"
"352","HUMIRA",0.653203,2018-12-01,"Casper-Riverton"
"353","HUMIRA",436.6924287,2019-04-01,"South Bend-Elkhart"
"354","HUMIRA",6.8847312,2019-03-01,"Peoria-Bloomington"
"355","HUMIRA",NA,2019-02-01,"Bakersfield"
"356","HUMIRA",90.0588738,2019-05-01,"Wilkes Barre-Scranton-Hztn"
"357","HUMIRA",7296.2344338,2018-12-01,"Orlando-Daytona Bch-Melbrn"
"358","HUMIRA",9.3130597,2019-04-01,"Harrisonburg"
"359","HUMIRA",1439.8409302,2018-09-01,"North Platte"
"360","HUMIRA",5217.5529805,2019-03-01,"Chico-Redding"
"361","HUMIRA",NA,2018-10-01,"OTTUMWA_KIRKSVILLE IA_MO"
"362","HUMIRA",NA,2019-07-01,"Syracuse"
"363","HUMIRA",12.9129758,2018-12-01,"Alpena"
"364","HUMIRA",2523.2332745,2018-12-01,"Meridian"
"365","HUMIRA",NA,2018-09-01,"JOPLIN_PITTSBURG MO_KS"
"366","HUMIRA",9081.3229476,2018-12-01,"Greenville-N.Bern-Washngtn"
"367","HUMIRA",55560.4615627,2018-10-01,"Medford-Klamath Falls"
"368","HUMIRA",32936.1862395,2019-02-01,"Birmingham (Ann and Tusc)"
"369","HUMIRA",58550.9165234,2018-09-01,"Oklahoma City"
"370","HUMIRA",5821.3110075,2018-12-01,"Albany, GA"
"371","HUMIRA",15.0844678,2019-01-01,"Cleveland-Akron (Canton)"
"372","HUMIRA",1305.0348466,2019-04-01,"Providence-New Bedford"
"373","HUMIRA",49.7297073,2019-02-01,"Champaign&Sprngfld-Decatur"
"374","HUMIRA",20.1291647,2019-05-01,"Topeka"
"375","HUMIRA",3050.0625498,2019-01-01,"Amarillo"
"376","HUMIRA",0.3588688,2018-10-01,"Wichita Falls & Lawton"
"377","HUMIRA",1530.3808418,2019-03-01,"Jacksonville"
"378","HUMIRA",5869.6777106,2019-05-01,"Alexandria, LA"
"379","HUMIRA",NA,2019-07-01,"Youngstown"
"380","HUMIRA",1208.7645097,2019-05-01,"Harlingen-Wslco-Brnsvl-McA"
"381","HUMIRA",3.0357577,2018-10-01,"Biloxi-Gulfport"
"382","HUMIRA",NA,2019-07-01,"Buffalo"
"383","HUMIRA",84735.0272684,2019-02-01,"Rochestr-Mason City-Austin"
"384","HUMIRA",186106.6780027,2019-02-01,"Syracuse"
"385","HUMIRA",4.4735743,2018-09-01,"Bluefield-Beckley-Oak Hill"
"386","HUMIRA",1080561.851367,2019-02-01,"New York"
"387","HUMIRA",0.4186641,2018-11-01,"Gainesville"
"388","HUMIRA",138.030856,2018-12-01,"Buffalo"
"389","HUMIRA",66120.1435179,2018-10-01,"St. Louis"
"390","HUMIRA",7001.2209912,2019-02-01,"Twin Falls"
"391","HUMIRA",1708.0293401,2019-02-01,"Casper-Riverton"
"392","HUMIRA",NA,2019-07-01,"SantaBarbra-SanMar-SanLuOb"
"393","HUMIRA",864.407066,2019-05-01,"Topeka"
"394","HUMIRA",NA,2019-07-01,"Charlotte"
"395","HUMIRA",4631.9321376,2019-02-01,"Erie"
"396","HUMIRA",562.8212756,2019-06-01,"Boise"
